indicator_basename,example_string,matched_files,count_files
mssolvehelper-databroker.exe,%localappdata%\mssolvehelper databroker\*\mssolvehelper-databroker.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
netdocuments,%programfiles%\NetDocuments,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
nitro,%programfiles%\nitro,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
nitro pdf,%programfiles%\Nitro PDF,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
notepad++,%programfiles%\Notepad++,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
nuance,%programfiles%\Nuance,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
offcat_rts.exe,%localappdata%\microsoft\offcat\offcat_rts.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
onecal.exe,%appdata%\onetastic\onecal.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
onedrive,%userprofile%\appdata\local\microsoft\onedrive,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt,4
onedrive.exe,%programfiles%\Microsoft OneDrive\OneDrive.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
open-eid,%programfiles%\Open-EID,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
opentext,%programfiles%\OpenText,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
opera developer,%programfiles%\Opera developer,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
oracle,%programfiles%\Oracle,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
paint.net,%programfiles%\paint.net,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
parallels,%programfiles%\Parallels,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
pdf annotator,%programfiles%\PDF Annotator,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
pdf architect 5,%programfiles%\PDF Architect 5,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
pdf995,%programfiles%\pdf995,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
pdflauncher.exe,%programfiles%\PDFgear\PDFLauncher.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
peazip,%programfiles%\PeaZip,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
photoscape,%programfiles%\PhotoScape,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
policypak,%programfiles%\policypak,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
powerarchiver,%programfiles%\PowerArchiver,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
pptlauncher.exe,%localappdata%\seclore\filesecure\filesecure lite\pptlauncher.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
ptupdate.exe,%userprofile%\appdata\roaming\webex\applications\ptupdate.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
quicktime,%programfiles%\QuickTime,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
rmactivate.exe,%windir%\system32\rmactivate.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
runtimebroker.exe,%windir%\system32\runtimebroker.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
safer technologies,%programfiles%\Safer Technologies,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
sage,%programfiles%\Sage,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
sap,%programfiles%\SAP,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
sogouexplorer.exe,%localappdata%\sogouexplorer\sogouexplorer.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
sublime text 3,%programfiles%\sublime text 3,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
sumatrapdf,%programfiles%\SumatraPDF,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
superoffice,%programfiles%\SuperOffice,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
symantec.cloud,%programfiles%\Symantec.cloud,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
tableau,%programfiles%\Tableau,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
teammate,%programfiles%\TeamMate,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
teams.exe,%programfiles%\Microsoft\Teams\current\Teams.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
techsmith,%programfiles%\TechSmith,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
textpad 7,%programfiles%\TextPad 7,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
textpad 8,%programfiles%\TextPad 8,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
thomson reuters,%programfiles%\Thomson Reuters,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
tikit,%programfiles%\tikit,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
todoist.helper.exe,%localappdata%\outlooktodoistadx\todoist.helper.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
tokenbrokercookies.exe,%windir%\system32\tokenbrokercookies.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
tortoisegit,%programfiles%\TortoiseGit,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
