indicator_basename,example_string,matched_files,count_files,rule_names,guids,has_rmm_guid
gputweakiii,%programfiles(x86)%\ASUS\GPUTweakIII,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
grabforwindows,%programfiles%\Dell\GrabForWindows,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
grid,%programfiles(x86)%\ASUS\Grid,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
healthservice.exe,%programfiles%\Microsoft Monitoring Agent\Agent\HealthService.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hosts,%programdata%\Lenovo\Udc\Hosts,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hotkeyserviceuwp.exe,%windir%\system32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_*\HotKeyServiceUWP.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp,%programdata%\EasyRaidCheck\HP,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp bto software,%programdata%\HP\HP BTO Software,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp deskjet,%programfiles(x86)%\HP\HP DeskJet,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp display control service,%programfiles%\Portrait Displays\HP Display Control Service,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp enabling services,%programfiles%\HP\HP Enabling Services,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp envy,%programfiles(x86)%\HP\HP ENVY,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp health check,%programfiles(x86)%\Hewlett-Packard\HP Health Check,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp image assistant,%programfiles%\HP Image Assistant,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp ink tank wireless,%programfiles(x86)%\HP\HP Ink Tank Wireless,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp media network,%programfiles%\HP\HP Media Network,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp mik client,%programfiles(x86)%\HP\HP MIK Client,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp officejet,%programfiles(x86)%\HP\HP OfficeJet,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp one agent,%programfiles%\HP\HP One Agent,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp performance advisor,%programfiles(x86)%\HP\HP Performance Advisor,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp support framework,%programfiles(x86)%\Hewlett-Packard\HP Support Framework,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp support solutions,%programfiles(x86)%\Hewlett-Packard\HP Support Solutions,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp thinupdate,%programfiles%\HP\HP ThinUpdate,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp touchpoint analytics client,%programfiles(x86)%\HP\HP Touchpoint Analytics Client,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hp touchpoint manager,%programfiles(x86)%\Hewlett-Packard\HP Touchpoint Manager,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hphwdiag,%programfiles(x86)%\HP\HpHwDiag,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hpia,%programfiles%\HP\HPIA,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hpimageassistant,%programfiles(x86)%\HPImageAssistant,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hpljut,%programfiles(x86)%\HP\HPLJUT,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
hpssacli,%programfiles%\HP\hpssacli,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
huntressagent.exe,%programfiles%\Huntress\HuntressAgent.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
ibsaservice.exe,%programfiles%\Phantom\IBSA\ibsaService.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
icacarddialogs.exe,%programfiles%\I.CA SecureStore\IcaCardDialogs\ICACardDialogs.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
idafserverhostservice.exe,%programfiles(x86)%\CheckPoint\Endpoint Security\Endpoint Common\bin\IDAFServerHostService.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
idiaglite,%programfiles%\Dell\iDiagLite,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
ie4uinit.exe,%windir%\system32\ie4uinit.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
ieunatt.exe,%windir%\syswow64\ieunatt.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
image assistant,%programfiles%\HP\Image Assistant,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
imcontroller,%programdata%\Lenovo\ImController,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
imecfmui.exe,%windir%\syswow64\ime\shared\imecfmui.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
imepadsv.exe,%windir%\syswow64\ime\shared\imepadsv.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
imjpdct.exe,%windir%\syswow64\ime\imejp\imjpdct.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
ines.userservice.exe,%programfiles(x86)%\Office Timeline\Current\Ines.UserService.Exe,asr_lua_20.bin,1,Block Office applications from injecting code into other processes,,no
infocagefileshell,%programfiles(x86)%\NEC\InfoCageFileShell,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
infoclient.exe,%programfiles(x86)%\Cordaware\Infoband\Infoclient.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
injectlibrary.exe,%programfiles%\Equitrac\Office\Common\InjectLibrary.exe,asr_lua_24.bin,1,Block Office communication application from creating child processes,,no
install_helper_tool.exe,%programfiles%\Autodesk\AdODIS\V1\Setup\install_helper_tool.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
intelbroadbandmanagersvc.exe,%windir%\system32\IntelBroadbandManagerSvc.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
ismccfhook86.exe,%programfiles%\Quality\ISMC\ISMCClient\ISMCCFHook86.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
